End of Year, GDP,Interest Rate,WTI Spot Price,Political Stability and Absence of Violence/Terrorism: Standard Error,Government Effectiveness: Standard Error,Rule of Law: Standard Error,Voice and Accountability: Standard Error,Control of Corruption: Standard Error,S&P 500 Price
31/12/1999,9631.174489,3.99,26.1,0.373912305,0.168259218,0.1942361,0.20805575,0.210325092,1425.59
31/12/2000,10250.948,5.41,28.44,0.345668405,0.205459833,0.197575495,0.213555023,0.188628212,1335.63
31/12/2001,10581.92977,1.52,19.39,0.313380271,0.203009099,0.162823543,0.202215627,0.199174166,1140.21
31/12/2002,10929.11296,1.16,29.46,0.286041707,0.189597607,0.18313089,0.187490851,0.158719242,895.84
31/12/2003,11456.44204,0.94,32.13,0.28284657,0.197353587,0.181739092,0.186603338,0.162804157,1132.52
31/12/2004,12217.1932,1.97,43.15,0.278957605,0.207480043,0.174138919,0.175457552,0.152643502,1181.41
31/12/2005,13039.19919,4.09,59.41,0.270123899,0.191963673,0.170602709,0.168726221,0.147660092,1278.73
31/12/2006,13815.58695,5.17,61.96,0.245767415,0.196979299,0.154648811,0.139394224,0.142229527,1424.16
31/12/2007,14474.22691,3.06,91.69,0.239249796,0.21908851,0.155581817,0.139338657,0.153465822,1378.76
31/12/2008,14769.85791,0.14,41.12,0.241307944,0.228786692,0.155537724,0.140368029,0.148236319,865.58
31/12/2009,14478.06493,0.05,74.47,0.241539121,0.21885781,0.152527735,0.139531121,0.14347662,1123.58
31/12/2010,15048.96444,0.13,89.15,0.239330947,0.227388635,0.153225735,0.139664069,0.14646551,1282.62
31/12/2011,15599.72812,0.04,98.56,0.238522351,0.2223759,0.140881971,0.134281918,0.153981924,1300.58
31/12/2012,16253.97223,0.09,87.86,0.219665527,0.21904555,0.150032908,0.129382625,0.140229449,1480.4
31/12/2013,16843.19099,0.07,97.63,0.225787356,0.216096893,0.151720047,0.128572464,0.137822196,1822.36
31/12/2014,17550.68017,0.06,59.29,0.192247406,0.228611439,0.162548438,0.139290079,0.131879121,2028.18
31/12/2015,18206.02074,0.2,37.19,0.198164418,0.227409348,0.158379644,0.142005116,0.133213595,1918.6
31/12/2016,18695.11084,0.55,51.97,0.204956502,0.218689665,0.17010814,0.140003368,0.141763538,2275.12
31/12/2017,19477.33655,1.5,57.88,0.20627439,0.22180973,0.160728991,0.137845844,0.129531831,2789.8
31/12/2018,20533.05731,2.5,49.52,0.207029983,0.221589938,0.153818801,0.138570324,0.140638933,2607.39
31/12/2019,21380.97612,1.55,59.88,0.209482387,0.228548378,0.157486945,0.132055208,0.149918675,3278.2
31/12/2020,21060.47361,0.09,47.02,0.21417129,0.253996104,0.154424012,0.140971243,0.15147844,3793.75
31/12/2021,23315.08056,0.08,71.71,0.210783064,0.247560054,0.162707672,0.143370211,0.159642011,4573.82
31/12/2022,25462.7,4.1,76.44,0.247183072,0.215650305,0.163417658,0.154206472,0.15321426,3960.66
31/12/2023,26252.0437,5.6,77.48,0.247183072,0.215650305,0.163417658,0.154206472,0.15321426,4496